site_domain,rating,sales
amazon.com,1.7,637959000000
temu.com,2.3,393836097000
aliexpress.com,2.5,941168000000
ebay.com,1.2,10283000000
walmart.com,1.6,680985000000
alibaba.com,4.1,941168000000
flipkart.com,1.5,
shein.com,4.1,
ikea.com,1.4,
costco.com,1.8,254453000000
lowes.com,1.4,83674000000
target.com,1.6,106566000000
bestbuy.com,1.3,41528000000
wayfair.com,3.8,11851000000
etsy.com,1.8,2808332000
asos.com,2.5,5000000000
zalando.com,2.0,10572500000
uniqlo.com,1.5,3103836000000
hm.com,2.1,234478000000
argos.co.uk,4.1,
currys.co.uk,4.4,8476000000
tesco.com,1.9,69916000000
johnlewis.com,4.1,
next.co.uk,4.2,6118100000
nordstrom.com,1.5,15016000000
macys.com,1.8,23006000000
kohls.com,1.5,16221000000
neimanmarcus.com,1.3,
sephora.com,2.6,10000000000
ulta.com,2.0,11295654000
newegg.com,3.5,1235576000
bhphotovideo.com,4.9,
banggood.com,4.3,
myntra.com,1.2,
ajio.com,1.2,
